Dominio,HTTP,HTTPS,Categoría,Descripción
gatopardo.com,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Sitios de noticias,
nieman.harvard.edu,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Sitios de noticias,
14ymedio.com,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Sitios de noticias,
cibercuba.com,Bloqueo por DPI,Fallida/Bloqueo de HTTP ,Sitios de noticias,
cubanet.org,Bloqueo por DPI,Fallida/Bloqueo de HTTP ,Sitios de noticias,
diariodecuba.com,Bloqueo por DPI,Fallida/Bloqueo de HTTP,Sitios de noticias,
cubaencuentro.com,Bloqueo por DPI,Fallida/Bloqueo por HTTP,Sitios de noticias,
payolibre.com,Bloqueo por DPI,Fallida,Sitios de noticias,
periodicocubano.com,Bloqueo por DPI,Fallida/Bloqueo de HTTP,Sitios de noticias,
univision.com,Bloqueo por DPI,Fallida,Sitios de noticias,
asere.com,Fallida/Bloqueo de HTTP ,Fallida/Bloqueo http,Sitios de noticias,
cubanosporelmundo.com,Bloqueo de HTTP,Fallida/Bloqueo de HTTP,Sitios de noticias,
rialta.org,Bloqueo por DPI,Fallida,Sitios de noticias,
adncuba.com,Bloqueo por DPI,Bloqueo de HTTP/Fallida,Sitios de noticias,
martinoticias.com,Bloqueo por DPI,Fallida,Sitios de noticias,
libertaddigital.com,Bloqueo por DPI,Fallida,Sitios de noticias,
cafefuerte.com,Bloqueo por DPI,Fallida,Sitios de noticias,
voanews.com,Bloqueo por DPI,Fallida,Sitios de noticias,
cubaenmiami.com,Bloqueo por DPI,Fallida,Sitios de noticias,
cubanology.com,Bloqueo por DPI,Fallida,Sitios de noticias,
nuevoaccion.blogspot.com,Bloqueo por DPI,Fallida,Sitios de noticias,
americateve.com,Accesibloe/Bloqueo de HTTP,Accesible/Bloqueo de HTTP,Sitios de noticias,
somosmascuba.com,Bloqueo por DPI,Fallida,Sitios de noticias,
cuballama.com,Bloqueo por DPI,Fallida/Bloque por HTTP,Sitios de noticias,
cubasindical.org,Bloqueo por DPI,Fallida, Sitios de Derechos Humanos,
damasdeblanco.com,Bloqueo por DPI,Fallida, Sitios de Derechos Humanos,
freedomhouse.org,Censura por DPI,Fallida, Sitios de Derechos Humanos,
victimsofcommunism.org,Bloqueo de TCP/IP,Bloqueo de TCP/IP, Sitios de Derechos Humanos,
canf.org,Bloqueo por DPI,Fallida, Sitios de Derechos Humanos,
cubacenter.org,Bloqueo de TCP/IP,Bloqueo de TCP/IP, Sitios de Derechos Humanos,
cubafreepress.org,Bloqueo de TCP/IP,Bloqueo de TCP/IP, Sitios de Derechos Humanos,
solidaridadconcuba.com,Bloqueo por DPI,Fallida, Sitios de Derechos Humanos,
cadal.org,Bloqueo por DPI,Bloqueo de HTTP/Fallida, Sitios de Derechos Humanos,
cubalex.org,Bloqueo por DPI,Bloqueo de HTTP/Fallida, Sitios de Derechos Humanos,
observacuba.org,Bloqueo por DPI,Bloqueo por HTTP/Fallida, Sitios de Derechos Humanos,
hermanos.org,Bloqueo por DPI,Fallida, Sitios de Derechos Humanos,
icj.org,Accesible/Bloque de TCP/IP,Accesible/Bloqueo de TCP/IP, Sitios de Derechos Humanos,
juventudlac.org,Bloqueo por DPI,Fallida, Sitios de Derechos Humanos,
represorescubanos.com,Bloqueo de TCP/IP,Bloqueo de HTTP/Fallida, Sitios de Derechos Humanos,
oas.org,Bloqueo por DPI,Fallida, Sitios de Derechos Humanos,
demoamlat.com,Bloqueo por DPI,Bloqueo de HTTP/Fallida,  Sitios de Derechos Humanos,
directorio.org,Bloqueo por DPI,Fallida, Sitios críticos con el gobierno,
cubadata.com,Bloqueo por DPI,Fallida, Sitios críticos con el gobierno,
cubademocraciayvida.org,Bloqueo por DPI,Fallida, Sitios críticos con el gobierno,
cubadecide.org,Bloqueo de TCP/IP,Bloqueo de TCP/IP, Sitios críticos con el gobierno,
unpacu.org,Bloqueo por DPI,Fallida/Bloqueo de HTTP, Sitios críticos con el gobierno,
cubaxcuba.com,Bloqueo por DPI,Fallida, Sitios críticos con el gobierno,
proyectoinventario.org,Bloqueo por DPI,Fallida, Sitios críticos con el gobierno,
idealpress.com,Bloqueo por DPI,Bloqueo de TCP/IP,Religión,
shavei.org,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Religión,
dharmanet.org,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Religión,
schwarzreport.org,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Religión,
anon.inf.tu-dresden.de,Bloqueo por DPI,Fallida,Herramientas de elusión y anonimización,
megaproxy.com,Bloqueo por DPI,Fallida,Herramientas de elusión y anonimización,
inetprivacy.com,Bloqueo por DPI,Fallida,Herramientas de elusión y anonimización,
change.org,Bloqueo por DPI,Bloqueo por HTTP/Fallida, Activismo,
secure.avaaz.org,Bloqueo por DPI,Fallida/Bloqueo por HTTP, Activismo,
corriente.org,Bloqueo por DPI,Fallida, Activismo,
conexioncubana.net,Bloqueo por DPI,Fallida,Turismo,
agendacuba.org,Bloqueo por DPI,Fallida,Turismo,
revistaelestornudo.com,Bloqueo por DPI,Bloqueo de HTTP/Fallida,Cultura,
cubanartnewsarchive.org,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Cultura,
beerinfo.com,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Alcohol y drogas,
911truth.org,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Temática 11S,
apretaste.com,Bloqueo de HTTP,Bloqueo de HTTP/Fallida,Motores de búsqueda,
delta.chat,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Herramientas de comunicación,
nine.testrun.org,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Herramientas de comunicación,
mehl.cloud,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Herramientas de comunicación,
bcc.chat,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Herramientas de comunicación,
mailchat.pl,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Herramientas de comunicación,
chatmail.woodpeckersnest.space,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Herramientas de comunicación,
chika.aangat.lahat.computer,Bloqueo de TCP/IP,Bloqueo de TCP/IP,Herramientas de comunicación,
support.delta.chat,Bloqueo por DPI,Bloqueo por DPI/HTTP,Herramientas de comunicación,
